Scientific Name,Common Name,Species Group,Federal Listing Status
Myadestes myadestinus,Large Kauai (=kamao) Thrush,Birds,Endangered
Myadestes palmeri,Small Kauai (=puaiohi) Thrush,Birds,Endangered
Mycetophyllia ferox,Rough Cactus Coral,Corals,Threatened
Mycteria americana,Wood stork,Birds,Threatened
Myotis grisescens,Gray bat,Mammals,Endangered
Myotis septentrionalis,Northern Long-Eared Bat,Mammals,Threatened
Myotis sodalis,Indiana bat,Mammals,Endangered
Myrmecobius fasciatus,Numbat,Mammals,Endangered
Naemorhedus (=Capricornis) sumatraensis,Serow,Mammals,Endangered
Naemorhedus goral,Goral,Mammals,Endangered
Nasalis concolor,Pagi Island langur,Mammals,Endangered
Nasalis larvatus,Proboscis monkey,Mammals,Endangered
Nectarinia prigoginei,Marungu sunbird,Birds,Endangered
Nectophrynoides spp.,African viviparous toads,Amphibians,Endangered
Nemosia rourei,Cherry-throated tanager,Birds,Endangered
Neofelis nebulosa,Clouded leopard,Mammals,Endangered
Neoleptoneta microps,Government Canyon Bat Cave Spider,Arachnids,Endangered
Neoleptoneta myopica,Tooth Cave Spider,Arachnids,Endangered
Neomorphus geoffroyi dulcis,Southeastern rufous-vented ground cuckoo,Birds,Endangered
Neonympha mitchellii francisci,Saint Francis' satyr butterfly,Insects,Endangered
Neonympha mitchellii mitchellii,Mitchell's satyr Butterfly,Insects,Endangered
Neophema chrysogaster,Orange-bellied parakeet,Birds,Endangered
Neoseps reynoldsi,Sand skink,Reptiles,Threatened
Neotoma floridana smalli,Key Largo woodrat,Mammals,Endangered
Neotoma fuscipes riparia,Riparian woodrat (=San Joaquin Valley),Mammals,Endangered
Neotragus moschatus moschatus,Zanzibar suni,Mammals,Endangered
Nerodia clarkii taeniata,Atlantic salt marsh snake,Reptiles,Threatened
Nerodia erythrogaster neglecta,Copperbelly water snake,Reptiles,Threatened
Nesillas aldabranus,Aldabra Warbler (old world warbler),Birds,Endangered
Newcombia cumingi,Newcomb's Tree snail,Snails,Endangered
Nicrophorus americanus,American burying beetle,Insects,Endangered
Nicrophorus americanus,American burying beetle,Insects,"Experimental Population, Non-Essential"
Nipponia nippon,Japanese crested ibis,Birds,Endangered
Notomys aquilo,Australian native mouse,Mammals,Endangered
Notropis albizonatus,Palezone shiner,Fishes,Endangered
Notropis buccula,Smalleye Shiner,Fishes,Endangered
Notropis cahabae,Cahaba shiner,Fishes,Endangered
Notropis girardi,Arkansas River shiner,Fishes,Threatened
Notropis mekistocholas,Cape Fear shiner,Fishes,Endangered
Notropis oxyrhynchus,Sharpnose Shiner,Fishes,Endangered
Notropis simus pecosensis,Pecos bluntnose shiner,Fishes,Threatened
Notropis topeka (=tristis),Topeka shiner,Fishes,Endangered
Notropis topeka (=tristis),Topeka shiner,Fishes,"Experimental Population, Non-Essential"
Noturus baileyi,Smoky madtom,Fishes,Endangered
Noturus baileyi,Smoky madtom,Fishes,"Experimental Population, Non-Essential"
Noturus crypticus,Chucky Madtom,Fishes,Endangered
Noturus flavipinnis,Yellowfin madtom,Fishes,Threatened
Noturus flavipinnis,Yellowfin madtom,Fishes,"Experimental Population, Non-Essential"
Noturus flavipinnis,Yellowfin madtom,Fishes,"Experimental Population, Non-Essential"
Noturus flavipinnis,Yellowfin madtom,Fishes,"Experimental Population, Non-Essential"
Noturus placidus,Neosho madtom,Fishes,Threatened
Noturus stanauli,Pygmy madtom,Fishes,Endangered
Noturus stanauli,Pygmy madtom,Fishes,"Experimental Population, Non-Essential"
Noturus trautmani,Scioto madtom,Fishes,Endangered
Numenius borealis,Eskimo curlew,Birds,Endangered
Numenius tenuirostris,Slender-billed curlew,Birds,Endangered
Nycticebus pygmaeus,Lesser slow loris,Mammals,Threatened
Oarisma poweshiek,Poweshiek skipperling,Insects,Endangered
Obovaria retusa,Ring pink (mussel),Clams,Endangered
Obovaria retusa,Ring pink (mussel),Clams,"Experimental Population, Non-Essential"
Oceanodroma castro,Band-rumped storm-petrel,Birds,Endangered
Odocoileus hemionus cerrosensis,Cedros Island mule Deer,Mammals,Endangered
Odocoileus virginianus clavium,Key deer,Mammals,Endangered
Odocoileus virginianus leucurus,Columbian white-tailed deer,Mammals,Threatened
Odontophorus strophium,Gorgeted wood-quail,Birds,Endangered
Oncorhynchus (=Salmo) kisutch,Coho salmon,Fishes,Threatened
Oncorhynchus (=Salmo) kisutch,Coho salmon,Fishes,Threatened
Oncorhynchus (=Salmo) kisutch,Coho salmon,Fishes,Endangered
Oncorhynchus (=Salmo) kisutch,Coho salmon,Fishes,Threatened
Oncorhynchus (=Salmo) mykiss,Steelhead,Fishes,Threatened
Oncorhynchus (=Salmo) mykiss,Steelhead,Fishes,Threatened
Oncorhynchus (=Salmo) mykiss,Steelhead,Fishes,Endangered
Oncorhynchus (=Salmo) mykiss,Steelhead,Fishes,Threatened
Oncorhynchus (=Salmo) mykiss,Steelhead,Fishes,Threatened
Oncorhynchus (=Salmo) mykiss,Steelhead,Fishes,Threatened
Oncorhynchus (=Salmo) mykiss,Steelhead,Fishes,Threatened
Oncorhynchus (=Salmo) mykiss,Steelhead,Fishes,Threatened
Oncorhynchus (=Salmo) mykiss,Steelhead,Fishes,Threatened
Oncorhynchus (=Salmo) mykiss,Steelhead,Fishes,Threatened
Oncorhynchus (=Salmo) mykiss,Steelhead,Fishes,"Experimental Population, Non-Essential"
Oncorhynchus (=Salmo) mykiss,Steelhead,Fishes,Threatened
Oncorhynchus (=Salmo) nerka,Sockeye salmon,Fishes,Threatened
Oncorhynchus (=Salmo) nerka,Sockeye salmon,Fishes,Endangered
Oncorhynchus (=Salmo) tshawytscha,Chinook salmon,Fishes,Endangered
Oncorhynchus (=Salmo) tshawytscha,Chinook salmon,Fishes,Threatened
Oncorhynchus (=Salmo) tshawytscha,Chinook salmon,Fishes,Threatened
Oncorhynchus (=Salmo) tshawytscha,Chinook salmon,Fishes,Threatened
Oncorhynchus (=Salmo) tshawytscha,Chinook salmon,Fishes,Threatened
Oncorhynchus (=Salmo) tshawytscha,Chinook salmon,Fishes,Threatened
Oncorhynchus (=Salmo) tshawytscha,Chinook salmon,Fishes,Endangered
Oncorhynchus (=Salmo) tshawytscha,Chinook salmon,Fishes,Threatened
Oncorhynchus (=Salmo) tshawytscha,Chinook salmon,Fishes,Threatened
Oncorhynchus aguabonita whitei,Little Kern golden trout,Fishes,Threatened
Oncorhynchus apache,Apache trout,Fishes,Threatened
Oncorhynchus clarki stomias,Greenback Cutthroat trout,Fishes,Threatened
Oncorhynchus clarkii henshawi,Lahontan cutthroat trout,Fishes,Threatened
Oncorhynchus clarkii seleniris,Paiute cutthroat trout,Fishes,Threatened
Oncorhynchus gilae,Gila trout,Fishes,Threatened
Oncorhynchus keta,Chum salmon,Fishes,Threatened
Oncorhynchus keta,Chum salmon,Fishes,Threatened
Onychogalea fraenata,Brindled nail-tailed wallaby,Mammals,Endangered
Onychogalea lunata,Crescent nail-tailed wallaby,Mammals,Endangered
Orbicella annularis,Lobed Star Coral,Corals,Threatened
Orbicella faveolata,Mountainous Star Coral,Corals,Threatened
Orbicella franksi,Boulder star coral,Corals,Threatened
Orcinus orca,Killer whale,Mammals,Endangered
Orconectes shoupi,Nashville crayfish,Crustaceans,Endangered
Oreomystis bairdi,Akikiki,Birds,Endangered
Oreomystis mana,Hawaii creeper,Birds,Endangered
Oreophasis derbianus,Horned guan,Birds,Endangered
Orthalicus reses (not incl. nesodryas),Stock Island tree snail,Snails,Threatened
Oryx dammah,Scimitar-horned oryx,Mammals,Endangered
Oryx leucoryx,Arabian oryx,Mammals,Endangered
Oryzomys palustris natator,Rice rat,Mammals,Endangered
Osteolaemus tetraspis osborni,Congo dwarf crocodile,Reptiles,Endangered
Osteolaemus tetraspis tetraspis,African dwarf crocodile,Reptiles,Endangered
Ostodes strigatus,Snail [no common name],Snails,Endangered
Otus ireneae,Morden's owlet,Birds,Endangered
Otus magicus (=insularis) insularis,Seychelles scops owl,Birds,Endangered
Otus rutilus capnodes,Anjouan scops owl,Birds,Endangered
Ovis ammon,Argali,Mammals,Endangered
Ovis ammon,Argali,Mammals,Threatened
Ovis canadensis nelsoni,Peninsular bighorn sheep,Mammals,Endangered
Ovis canadensis sierrae,Sierra Nevada bighorn sheep,Mammals,Endangered
Ovis musimon ophion,Urial,Mammals,Endangered
Ovis vignei vignei,Shapo,Mammals,Endangered
Oxyloma haydeni kanabensis,Kanab ambersnail,Snails,Endangered
Ozotoceros bezoarticus,Pampas deer,Mammals,Endangered
Pacifastacus fortis,Shasta crayfish,Crustaceans,Endangered
Palaemonetes cummingi,Squirrel Chimney Cave shrimp,Crustaceans,Threatened
Palaemonias alabamae,Alabama cave shrimp,Crustaceans,Endangered
Palaemonias ganteri,Kentucky cave shrimp,Crustaceans,Endangered
Palmeria dolei,crested honeycreeper (Akohekohe),Birds,Endangered
Pan paniscus,Pygmy chimpanzee,Mammals,Endangered
Pan troglodytes,Chimpanzee,Mammals,Endangered
Pangasianodon gigas,Thailand giant catfish,Fishes,Endangered
Pangasius sanitwongsei,Catfish,Fishes,Endangered
Panthalops hodgsonii,Tibetan antelope,Mammals,Endangered
Panthera leo ssp. leo,Lion,Mammals,Endangered
Panthera leo ssp. melanochaita,Lion,Mammals,Threatened
Panthera onca,Jaguar,Mammals,Endangered
Panthera pardus,Leopard,Mammals,Endangered
Panthera pardus,Leopard,Mammals,Threatened
Panthera tigris,Tiger,Mammals,Endangered
Papasula (=Sula) abbotti,Abbott's booby,Birds,Endangered
Papilio chikae,Luzon peacock swallowtail butterfly,Insects,Endangered
Papilio homerus,Homerus swallowtail butterfly,Insects,Endangered
Papilio hospiton,Corsican swallowtail butterfly,Insects,Endangered
Papustyla pulcherrima,Manus Island tree snail,Snails,Endangered
Parahyaena (=Hyaena) brunnea,Brown Hyena,Mammals,Endangered
Pardofelis (=Felis) marmorata,Marbled cat,Mammals,Endangered
Paroreomyza flammea,Molokai creeper,Birds,Endangered
Paroreomyza maculata,Oahu creeper,Birds,Endangered
Partula gibba,Humped tree snail,Snails,Endangered
Partula langfordi,Langford's tree snail,Snails,Endangered
Partula radiolata,Guam tree snail,Snails,Endangered
Partulina semicarinata,Lanai tree snail,Snails,Endangered
Partulina variabilis,Lanai tree snail,Snails,Endangered
Pavona diffluens,No common name,Corals,Threatened
Pedionomous torquatus,Plain wanderer (=collared-hemipode),Birds,Endangered
Pegias fabula,Littlewing pearlymussel,Clams,Endangered
Peltophryne lemur,Puerto Rican crested toad,Amphibians,Threatened
Penelope albipennis,White-winged guan,Birds,Endangered
Penelope perspicax,Cauca guan,Birds,Endangered
Pentalagus furnessi,Ryukyu rabbit,Mammals,Endangered
Perameles bougainville,Barred bandicoot,Mammals,Endangered
Perameles eremiana,Desert bandicoot,Mammals,Endangered
Percina antesella,Amber darter,Fishes,Endangered
Percina aurolineata,Goldline darter,Fishes,Threatened
Percina jenkinsi,Conasauga logperch,Fishes,Endangered
Percina pantherina,Leopard darter,Fishes,Threatened
Percina rex,Roanoke logperch,Fishes,Endangered
Percina tanasi,Snail darter,Fishes,Threatened
Perognathus longimembris pacificus,Pacific pocket mouse,Mammals,Endangered
Peromyscus gossypinus allapaticola,Key Largo cotton mouse,Mammals,Endangered
Peromyscus polionotus allophrys,Choctawhatchee beach mouse,Mammals,Endangered
Peromyscus polionotus ammobates,Alabama beach mouse,Mammals,Endangered
Peromyscus polionotus niveiventris,Southeastern beach mouse,Mammals,Threatened
Peromyscus polionotus peninsularis,St. Andrew beach mouse,Mammals,Endangered
Peromyscus polionotus phasma,Anastasia Island beach mouse,Mammals,Endangered
Peromyscus polionotus trissyllepsis,Perdido Key beach mouse,Mammals,Endangered
Petrogale xanthopus,Yellow-footed rock wallaby,Mammals,Endangered
Petroica multicolor multicolor,Scarlet-breasted robin (flycatcher),Birds,Endangered
Petroica traversi,Chatham Island robin,Birds,Endangered
Pezoporus wallicus,Ground parrot,Birds,Endangered
Phaenicophaeus pyrrhocephalus,Red-faced malkoha (cuckoo),Birds,Endangered
Phaeognathus hubrichti,Red Hills salamander,Amphibians,Threatened
Phaethornis malaris margarettae,Margaretta's hermit,Birds,Endangered
Pharomachrus mocinno,Resplendent quetzel,Birds,Endangered
Phascolarctos cinereus,Koala,Mammals,Threatened
Phelsuma edwardnewtoni,Day gecko,Reptiles,Endangered
Phelsuma guentheri,Round Island day gecko,Reptiles,Endangered
Phoca (=Pusa) hispida botnica,Ringed Seal,Mammals,Threatened
Phoca (=Pusa) hispida hispida,Ringed Seal,Mammals,Threatened
Phoca (=Pusa) hispida ladogensis,Ringed seal,Mammals,Endangered
Phoca (=Pusa) hispida ochotensis,Ringed Seal,Mammals,Threatened
Phoca hispida saimensis,Saimaa seal,Mammals,Endangered
Phoca largha,Spotted Seal,Mammals,Threatened
Phocoena sinus,Cochito,Mammals,Endangered
Phoebastria (=Diomedea) albatrus,Short-tailed albatross,Birds,Endangered
Phoenicoparrus andinus,Andean flamingo,Birds,Endangered
Phoxinus cumberlandensis,Blackside dace,Fishes,Threatened
Phrynops hogei,Brazilian sideneck turtle,Reptiles,Endangered
Physa natricina,Snake River physa snail,Snails,Endangered
Physeter catodon (=macrocephalus),Sperm whale,Mammals,Endangered
Phytotoma raimondii,Peruvian plantcutter,Birds,Endangered
Picathartes gymnocephalus,White-necked rockfowl,Birds,Endangered
Picathartes oreas,Grey-necked rockfowl,Birds,Endangered
Picoides borealis,Red-cockaded woodpecker,Birds,Endangered
Pionopsitta pileata,Red-capped parrot,Birds,Endangered
Pipile jacutinga,Black-fronted piping-guan,Birds,Endangered
Pipile pipile pipile,Trinidad white-headed curassow,Birds,Endangered
Pipilo crissalis eremophilus,Inyo California towhee,Birds,Threatened
Pithecophaga jefferyi,Philippine eagle,Birds,Endangered
Pitta gurneyi,Gurney's pitta,Birds,Endangered
Pitta kochi,Koch's pitta,Birds,Endangered
Pituophis melanoleucus lodingi,Black pine snake,Reptiles,Threatened
Plagopterus argentissimus,Woundfin,Fishes,Endangered
Plagopterus argentissimus,Woundfin,Fishes,"Experimental Population, Non-Essential"
Planigale ingrami subtilissima,Little planigale,Mammals,Endangered
Planigale tenuirostris,Southern planigale,Mammals,Endangered
Platanista gangetica minor,South Asian River dolphin,Mammals,Endangered
Platysteira laticincta,Banded wattle-eye,Birds,Endangered
Plethobasus cicatricosus,White wartyback (pearlymussel),Clams,Endangered
Plethobasus cicatricosus,White wartyback (pearlymussel),Clams,"Experimental Population, Non-Essential"
Plethobasus cooperianus,Orangefoot pimpleback (pearlymussel),Clams,Endangered
Plethobasus cooperianus,Orangefoot pimpleback (pearlymussel),Clams,"Experimental Population, Non-Essential"
Plethobasus cyphyus,Sheepnose Mussel,Clams,Endangered
Plethodon neomexicanus,Jemez Mountains salamander,Amphibians,Endangered
Plethodon nettingi,Cheat Mountain salamander,Amphibians,Threatened
Plethodon shenandoah,Shenandoah salamander,Amphibians,Endangered
Pleurobema clava,Clubshell,Clams,Endangered
Pleurobema clava,Clubshell,Clams,"Experimental Population, Non-Essential"
Pleurobema collina,James spinymussel,Clams,Endangered
Pleurobema curtum,Black clubshell,Clams,Endangered
Pleurobema decisum,Southern clubshell,Clams,Endangered
Pleurobema furvum,Dark pigtoe,Clams,Endangered
Pleurobema georgianum,Southern pigtoe,Clams,Endangered
Pleurobema gibberum,Cumberland pigtoe,Clams,Endangered
Pleurobema hanleyianum,Georgia pigtoe,Clams,Endangered
Pleurobema marshalli,Flat pigtoe,Clams,Endangered
Pleurobema perovatum,Ovate clubshell,Clams,Endangered
Pleurobema plenum,Rough pigtoe,Clams,Endangered
Pleurobema plenum,Rough pigtoe,Clams,"Experimental Population, Non-Essential"
Pleurobema pyriforme,Oval pigtoe,Clams,Endangered
Pleurobema strodeanum,Fuzzy pigtoe,Clams,Threatened
Pleurobema taitianum,Heavy pigtoe,Clams,Endangered
Pleurocera foremani,Rough hornsnail,Snails,Endangered
Pleuronaia dolabelloides,Slabside Pearlymussel,Clams,Endangered
Ploceus golandi,Clarke's weaver,Birds,Endangered
Podarcis pityusensis,Ibiza wall lizard,Reptiles,Threatened
Podiceps taczanowskii,Junin grebe,Birds,Endangered
Podilymbus gigas,Atitlan grebe,Birds,Endangered
Podocnemis expansa,Tartaruga,Reptiles,Endangered
Podocnemis unifilis,Tracaja,Reptiles,Endangered
Poeciliopsis occidentalis,Gila topminnow (incl. Yaqui),Fishes,Endangered
Polioptila californica californica,Coastal California gnatcatcher,Birds,Threatened
Polyborus plancus audubonii,Audubon's crested caracara,Birds,Threatened
Polygyriscus virginianus,Virginia fringed mountain snail,Snails,Endangered
Polyphylla barbata,Mount Hermon June beetle,Insects,Endangered
Polyplectron emphanum,Palawan peacock pheasant,Birds,Endangered
Polysticta stelleri,Steller's Eider,Birds,Threatened
Pomarea nigra,Tahiti flycatcher,Birds,Endangered
Pongo pygmaeus,Orangutan,Mammals,Endangered
Porites napopora,No common name,Corals,Threatened
Potamilus capax,Fat pocketbook,Clams,Endangered
Potamilus inflatus,Alabama (=inflated) heelsplitter,Clams,Threatened
Presbytis potenziani,Long-tailed langur,Mammals,Threatened
Presbytis senex,Purple-faced langur,Mammals,Threatened
Prietella phreatophila,Mexican blindcat (catfish),Fishes,Endangered
Priodontes maximus,Giant armadillo,Mammals,Endangered
Prionailurus (=Felis) bengalensis bengalensis,Leopard cat,Mammals,Endangered
Prionailurus (=Felis) bengalensis iriomotensis,Iriomote cat,Mammals,Endangered
Prionailurus (=Felis) planiceps,Flat-headed cat,Mammals,Endangered
Prionodon pardicolor,Spotted linsang,Mammals,Endangered
Pristis clavata,Dwarf sawfish,Fishes,Endangered
Pristis pectinata,Smalltooth sawfish,Fishes,Endangered
Pristis pectinata,Smalltooth sawfish,Fishes,Endangered
Pristis pristis,Largetooth Sawfish,Fishes,Endangered
Pristis zijsron,Green sawfish,Fishes,Endangered
Probarbus jullieni,Ikan temoleh (minnow),Fishes,Endangered
Procaris hawaiana,Anchialine pool Shrimp,Crustaceans,Endangered
Procolobus (=Colobus) pennantii (=kirki) kirki,Zanzibar red colobus monkey,Mammals,Endangered
Procolobus (=Colobus) preussi (=badius p.),Preuss' red colobus monkey,Mammals,Endangered
Procolobus (=Colobus) rufomitratus (=badius r.),Tana River red colobus monkey,Mammals,Endangered
Propithecus spp.,Sifakas,Mammals,Endangered
Psammobates geometricus,Geometric turtle,Reptiles,Endangered
Psephotus chrysopterygius,Golden-shouldered parakeet,Birds,Endangered
Psephotus pulcherrimus,Paradise parakeet,Birds,Endangered
Pseudemydura umbrina,Short-necked or western swamp turtle,Reptiles,Endangered
Pseudemys alabamensis,Alabama red-bellied turtle,Reptiles,Endangered
Pseudemys rubriventris bangsi,Plymouth Redbelly Turtle,Reptiles,Endangered
Pseudibis gigantea,Giant ibis,Birds,Endangered
Pseudobulweria macgillivrayi,Fiji petrel,Birds,Endangered
Pseudocopaeodes eunus obscurus,Carson wandering skipper,Insects,Endangered
Pseudomys fieldi,Field's mouse,Mammals,Endangered
Pseudomys fumeus,Smoky mouse,Mammals,Endangered
Pseudomys gouldii,Gould's mouse,Mammals,Endangered
Pseudomys novaehollandiae,New Holland mouse,Mammals,Endangered
Pseudomys occidentalis,Western mouse,Mammals,Endangered
Pseudomys praeconis,Shark Bay mouse,Mammals,Endangered
Pseudomys shortridgei,Shortridge's mouse,Mammals,Endangered
Pseudonestor xanthophrys,Maui parrotbill (Kiwikiu),Birds,Endangered
Pseudorca crassidens,false killer whale,Mammals,Endangered
Pseudotryonia adamantina,Diamond Tryonia,Snails,Endangered
Psittacula echo,Mauritius parakeet,Birds,Endangered
Psittirostra psittacea,`O`u (honeycreeper),Birds,Endangered
Psophodes nigrogularis,Western whipbird,Birds,Endangered
Pterodroma aterrima,Mascarene black petrel,Birds,Endangered
Pterodroma axillaris,Chatham Island petrel,Birds,Endangered
Pterodroma cahow,Bermuda petrel,Birds,Endangered
Pterodroma madeira,Freira,Birds,Endangered
Pterodroma magentae,Magenta petrel,Birds,Endangered
Pterodroma phaeopygia,Galapagos petrel,Birds,Threatened
Pterodroma sandwichensis,Hawaiian petrel,Birds,Endangered
Pteronura brasiliensis,Giant otter,Mammals,Endangered
Pteropus mariannus mariannus,Mariana fruit Bat (=Mariana flying fox),Mammals,Threatened
Pteropus rodricensis,Rodrigues fruit bat (=flying fox),Mammals,Endangered
Pteropus tokudae,Little Mariana fruit Bat,Mammals,Endangered
Ptychobranchus greenii,Triangular Kidneyshell,Clams,Endangered
Ptychobranchus jonesi,Southern kidneyshell,Clams,Endangered
Ptychobranchus subtentum,Fluted kidneyshell,Clams,Endangered
Ptychocheilus lucius,Colorado pikeminnow (=squawfish),Fishes,Endangered
Ptychocheilus lucius,Colorado pikeminnow (=squawfish),Fishes,"Experimental Population, Non-Essential"
Pudu pudu,Pudu,Mammals,Endangered
Puffinus auricularis newelli,Newell's Townsend's shearwater,Birds,Threatened
Puffinus heinrothi,Heinroth's shearwater,Birds,Threatened
Puma (=Felis) concolor (all subsp. except coryi),Puma (=mountain lion),Mammals,Similarity of Appearance to a Threatened Taxon
Puma (=Felis) concolor coryi,Florida panther,Mammals,Endangered
Puma (=Felis) concolor costaricensis,Costa Rican puma,Mammals,Endangered
Puma (=Felis) concolor couguar,Eastern puma (=cougar),Mammals,Endangered
Pygathrix nemaeus,Douc langur,Mammals,Endangered
Pyrgulopsis (=Marstonia) pachyta,Armored snail,Snails,Endangered
Pyrgulopsis bernardina,San Bernardino springsnail,Snails,Threatened
Pyrgulopsis bruneauensis,Bruneau Hot springsnail,Snails,Endangered
Pyrgulopsis chupaderae,Chupadera springsnail,Snails,Endangered
Pyrgulopsis neomexicana,Socorro springsnail,Snails,Endangered
Pyrgulopsis ogmorhaphe,Royal marstonia (snail),Snails,Endangered
Pyrgulopsis roswellensis,Roswell springsnail,Snails,Endangered
Pyrgulopsis texana,Phantom Springsnail,Snails,Endangered
Pyrgulopsis trivialis,Three Forks Springsnail,Snails,Endangered
Pyrgus ruralis lagunae,Laguna Mountains skipper,Insects,Endangered
Pyriglena atra,Fringe-backed fire-eye,Birds,Endangered
Pyrrhula pyrrhula murina,Sao Miguel bullfinch (finch),Birds,Endangered
Pyrrhura cruentata,Blue-throated (=ochre-marked) parakeet,Birds,Endangered
Python molurus molurus,Indian python,Reptiles,Endangered
Quadrula cylindrica cylindrica,Rabbitsfoot,Clams,Threatened
Quadrula cylindrica strigillata,Rough rabbitsfoot,Clams,Endangered
Quadrula fragosa,Winged Mapleleaf,Clams,Endangered
Quadrula fragosa,Winged Mapleleaf,Clams,"Experimental Population, Non-Essential"
Quadrula intermedia,Cumberland monkeyface (pearlymussel),Clams,Endangered
Quadrula intermedia,Cumberland monkeyface (pearlymussel),Clams,"Experimental Population, Non-Essential"
Quadrula intermedia,Cumberland monkeyface (pearlymussel),Clams,"Experimental Population, Non-Essential"
Quadrula sparsa,Appalachian monkeyface (pearlymussel),Clams,Endangered
Quadrula sparsa,Appalachian monkeyface (pearlymussel),Clams,"Experimental Population, Non-Essential"
Quadrula stapes,Stirrupshell,Clams,Endangered
Quisicalus palustris,Slender-billed Grackle,Birds,Endangered
Rallus longirostris levipes,Light-footed clapper rail,Birds,Endangered
Rallus longirostris obsoletus,California clapper rail,Birds,Endangered
Rallus longirostris yumanensis,Yuma clapper rail,Birds,Endangered
Rallus owstoni,Guam rail,Birds,Endangered
Rallus owstoni,Guam rail,Birds,"Experimental Population, Non-Essential"
Rallus pectoralis muelleri,Aukland Island rail,Birds,Endangered
Ramphocinclus brachyurus,White-breasted thrasher,Birds,Endangered
Ramphodon (=Glaucis) dohrnii,Hook-billed hermit (hummingbird),Birds,Endangered
Rana chiricahuensis,Chiricahua leopard frog,Amphibians,Threatened
Rana draytonii,California red-legged frog,Amphibians,Threatened
Rana muscosa,Mountain yellow-legged frog,Amphibians,Endangered
Rana muscosa,Mountain yellow-legged frog,Amphibians,Endangered
Rana pretiosa,Oregon spotted frog,Amphibians,Threatened
Rana sevosa,dusky gopher frog,Amphibians,Endangered
Rana sierrae,Sierra Nevada Yellow-legged Frog,Amphibians,Endangered
Rangifer tarandus caribou,Woodland caribou,Mammals,Endangered
Reithrodontomys raviventris,Salt marsh harvest mouse,Mammals,Endangered
Rhadine exilis,[no common name] Beetle,Insects,Endangered
Rhadine infernalis,[no common name] Beetle,Insects,Endangered
Rhadine persephone,Tooth Cave ground beetle,Insects,Endangered
Rhaphiomidas terminatus abdominalis,Delhi Sands flower-loving fly,Insects,Endangered
Rhea (=Pterocnemia) pennata,Lesser rhea (incl. Darwin's),Birds,Endangered
Rhinichthys osculus lethoporus,Independence Valley speckled dace,Fishes,Endangered
Rhinichthys osculus nevadensis,Ash Meadows speckled dace,Fishes,Endangered
Rhinichthys osculus oligoporus,Clover Valley speckled dace,Fishes,Endangered
Rhinichthys osculus ssp.,Foskett speckled dace,Fishes,Threatened
Rhinichthys osculus thermalis,Kendall Warm Springs dace,Fishes,Endangered
Rhinoceros sondaicus,Javan rhinoceros,Mammals,Endangered
Rhinoceros unicornis,Great Indian rhinoceros,Mammals,Endangered
Rhinopithecus avunculus,Tonkin snub-nosed monkey,Mammals,Endangered
Rhinopithecus bieti,Yunnan snub-nosed monkey,Mammals,Endangered
Rhinopithecus brelichi,Guizhou snub-nosed monkey,Mammals,Endangered
Rhinopithecus roxellana,Sichuan snub-nosed monkey,Mammals,Endangered
Rhinoptilus bitorquatus,Jerdon's courser,Birds,Endangered
Rhodonessa caryophyllacea,Pink-headed duck,Birds,Endangered
Rhynchopsitta pachyrhyncha,Thick-billed parrot,Birds,Endangered
Rhynochetos jubatus,Kagu,Birds,Endangered
Romerolagus diazi,Volcano rabbit,Mammals,Endangered
Rostrhamus sociabilis plumbeus,Everglade snail kite,Birds,Endangered
Rukia longirostra,Ponape greater white-eye,Birds,Endangered
Rupicapra rupicapra ornata,Apennine chamois,Mammals,Endangered
Saguinus bicolor,Pied tamarin,Mammals,Endangered
Saguinus leucopus,White-footed tamarin,Mammals,Threatened
Saguinus oedipus,Cotton-top tamarin,Mammals,Endangered
Saiga tatarica mongolica,Mongolian saiga (antelope),Mammals,Endangered
Saimiri oerstedii,Red-backed squirrel monkey,Mammals,Endangered
Salmo platycephalus,Ala balik (trout),Fishes,Endangered
Salmo salar,Atlantic salmon,Fishes,Endangered
Salvelinus confluentus,Bull Trout,Fishes,Threatened
Salvelinus confluentus,Bull Trout,Fishes,"Experimental Population, Non-Essential"
Samoana fragilis,Fragile tree snail,Snails,Endangered
Sauromalus varius,San Esteban Island chuckwalla,Reptiles,Endangered
Scaphirhynchus albus,Pallid sturgeon,Fishes,Endangered
Scaphirhynchus platorynchus,Shovelnose Sturgeon,Fishes,Similarity of Appearance to a Threatened Taxon
Scaphirhynchus suttkusi,Alabama sturgeon,Fishes,Endangered
Scleropages formosus,Asian bonytongue,Fishes,Endangered
Sebastes paucispinis,Bocaccio,Fishes,Endangered
Sebastes pinniger,canary rockfish,Fishes,Threatened
Sebastes ruberrimus,yelloweye rockfish,Fishes,Threatened
Semnopithecus (=Presbytis) entellus,Gray (=entellus) langur,Mammals,Endangered
Seriatopora aculeata,No common name,Corals,Threatened
Setonix brachyurus,Quokka,Mammals,Endangered
Setophaga angelae,Elfin-woods warbler,Birds,Threatened
Setophaga kirtlandii (= Dendroica kirtlandii),Kirtland's Warbler,Birds,Endangered
Sistrurus catenatus,Eastern Massasauga (=rattlesnake),Reptiles,Threatened
Sitta ledanti,Algerian nuthatch,Birds,Endangered
Sminthopsis longicaudata,Long-tailed marsupial-mouse,Mammals,Endangered
Sminthopsis psammophila,Large desert marsupial-mouse,Mammals,Endangered
Solenodon cubanus,Cuban solenodon,Mammals,Endangered
Solenodon paradoxus,Haitian solenodon,Mammals,Endangered
