Scientific Name,Common Name,Species Group,Federal Listing Status
Brachylagus idahoensis,Columbia Basin Pygmy Rabbit,Mammals,Endangered
Brachylophus fasciatus,Fiji banded iguana,Reptiles,Endangered
Brachylophus vitiensis,Fiji crested iguana,Reptiles,Endangered
Brachyramphus marmoratus,Marbled murrelet,Birds,Threatened
Brachyteles arachnoides,Woolly spider monkey,Mammals,Endangered
Bradypus torquatus,Brazilian three-toed sloth,Mammals,Endangered
Branchinecta conservatio,Conservancy fairy shrimp,Crustaceans,Endangered
Branchinecta longiantenna,Longhorn fairy shrimp,Crustaceans,Endangered
Branchinecta lynchi,Vernal pool fairy shrimp,Crustaceans,Threatened
Branchinecta sandiegonensis,San Diego fairy shrimp,Crustaceans,Endangered
Branta (=Nesochen) sandvicensis,Hawaiian goose,Birds,Endangered
Brychius hungerfordi,Hungerford's crawling water Beetle,Insects,Endangered
Bubalus depressicornis,Lowland anoa,Mammals,Endangered
Bubalus mindorensis,Tamaraw,Mammals,Endangered
Bubalus quarlesi,Mountain anoa,Mammals,Endangered
Buceros (=Rhinoplax) vigil,Helmeted hornbill,Birds,Endangered
Bufo hemiophrys baxteri,Wyoming Toad,Amphibians,Endangered
Bufo houstonensis,Houston toad,Amphibians,Endangered
Bufo periglenes,Monte Verde golden toad,Amphibians,Endangered
Bufo superciliaris,Cameroon toad,Amphibians,Endangered
Burramys parvus,Mountain pygmy possum,Mammals,Endangered
Buteo galapagoensis,Galapagos hawk,Birds,Endangered
Buteo platypterus brunnescens,Puerto Rican broad-winged hawk,Birds,Endangered
Buteo solitarius,Hawaiian (='lo) Hawk,Birds,Endangered
Cacajao spp.,Uakari (all species),Mammals,Endangered
Cacatua alba,White cockatoo,Birds,Threatened
Cacatua haematuropygia,Philippine cockatoo,Birds,Endangered
Cacatua moluccensis,Salmon-crested cockatoo,Birds,Threatened
Cacatua sulphurea,Yellow-crested cockatoo,Birds,Endangered
Caiman crocodilus apaporiensis,Apaporis River caiman,Reptiles,Endangered
Caiman crocodilus crocodilus,Common caiman,Reptiles,Similarity of Appearance to a Threatened Taxon
Caiman crocodilus fuscus (includes Caiman crocodilus chiapasius),Brown Caiman,Reptiles,Similarity of Appearance to a Threatened Taxon
Caiman latirostris,Broad-snouted caiman,Reptiles,Endangered
Caiman latirostris,Broad-snouted caiman,Reptiles,Threatened
Caiman yacare,Yacare Caiman,Reptiles,Threatened
Cairina scutulata,White-winged wood duck,Birds,Endangered
Calidris canutus rufa,Red knot,Birds,Threatened
Callaeas cinerea,Kokako (wattlebird),Birds,Endangered
Callimico goeldii,Goeldi's marmoset,Mammals,Endangered
Callithrix aurita (=jacchus a.),White-eared (=buffy tufted-ear) marmoset,Mammals,Endangered
Callithrix flaviceps,Buff-headed marmoset,Mammals,Endangered
Callophrys mossii bayensis,San Bruno elfin butterfly,Insects,Endangered
Caloprymnus campestris,Desert (=plain) rat-kangaroo,Mammals,Endangered
Camarhynchus pauper,Floreana tree-Finch,Birds,Endangered
Cambarus aculabrum,Cave crayfish,Crustaceans,Endangered
Cambarus callainus,Big Sandy crayfish,Crustaceans,Threatened
Cambarus veteranus,Guyandotte River crayfish,Crustaceans,Endangered
Cambarus zophonastes,Cave crayfish,Crustaceans,Endangered
Camelus bactrianus,Bactrian camel,Mammals,Endangered
Campeloma decampi,Slender campeloma,Snails,Endangered
Campephilus imperialis,Imperial woodpecker,Birds,Endangered
Campephilus principalis,Ivory-billed woodpecker,Birds,Endangered
Canis lupus,Gray wolf,Mammals,Endangered
Canis lupus,Gray wolf,Mammals,Threatened
Canis lupus baileyi,Mexican wolf,Mammals,Endangered
Canis lupus baileyi,Mexican wolf,Mammals,"Experimental Population, Non-Essential"
Canis rufus,Red wolf,Mammals,Endangered
Canis rufus,Red wolf,Mammals,"Experimental Population, Non-Essential"
Canis simensis,Simien fox,Mammals,Endangered
Capra falconeri (=aegragrus) chiltanensis,Chiltan (=wild goat) markhor,Mammals,Endangered
Capra falconeri megaceros,Straight-horned markhor,Mammals,Threatened
Capra pyrenaica pyrenaica,Pyrenean ibex,Mammals,Endangered
Capra walie,Walia ibex,Mammals,Endangered
Caprimulgus noctitherus,Puerto Rican nightjar,Birds,Endangered
Caprolagus hispidus,Hispid hare,Mammals,Endangered
Capromys angelcabrerai,Cabrera's hutia,Mammals,Endangered
Capromys auritus,Large-eared hutia,Mammals,Endangered
Capromys nana,Dwarf hutia,Mammals,Endangered
Capromys sanfelipensis,Little earth hutia,Mammals,Endangered
Carduelis cucullata,Red siskin,Birds,Endangered
Caretta caretta,Loggerhead sea turtle,Reptiles,Threatened
Caretta caretta,Loggerhead sea turtle,Reptiles,Endangered
Caretta caretta,Loggerhead sea turtle,Reptiles,Endangered
Caretta caretta,Loggerhead sea turtle,Reptiles,Endangered
Caretta caretta,Loggerhead sea turtle,Reptiles,Endangered
Caretta caretta,Loggerhead sea turtle,Reptiles,Endangered
Caretta caretta,Loggerhead sea turtle,Reptiles,Threatened
Caretta caretta,Loggerhead sea turtle,Reptiles,Threatened
Caretta caretta,Loggerhead sea turtle,Reptiles,Threatened
Casarea dussumieri,Round Island casarea boa,Reptiles,Endangered
Castor fiber birulai,Beaver (Mongolian),Mammals,Endangered
Catopuma (=Felis) temminckii,Asian golden (=Temmnick's) cat,Mammals,Endangered
Catostomus discobolus yarrowi,Zuni bluehead Sucker,Fishes,Endangered
Catostomus santaanae,Santa Ana sucker,Fishes,Threatened
Catostomus warnerensis,Warner sucker,Fishes,Threatened
Catreus wallichii,Cheer pheasant,Birds,Endangered
Centrocercus minimus,Gunnison sage-grouse,Birds,Threatened
Cephalophus jentinki,Jentink's duiker,Mammals,Endangered
Ceratotherium simum cottoni,Northern white rhinoceros,Mammals,Endangered
Ceratotherium simum ssp. simum,Southern white rhinoceros,Mammals,Similarity of Appearance to a Threatened Taxon
Cercocebus galeritus galeritus,Tana River mangabey,Mammals,Endangered
Cercocebus torquatus,White-collared mangabey,Mammals,Endangered
Cercopithecus diana,Diana monkey,Mammals,Endangered
Cercopithecus erythrogaster,Red-bellied monkey,Mammals,Endangered
Cercopithecus erythrotis,Red-eared nose-spotted monkey,Mammals,Endangered
Cercopithecus lhoesti,L'hoest's monkey,Mammals,Endangered
Cervus alfredi,Visayan deer,Mammals,Endangered
Cervus duvauceli,Swamp deer,Mammals,Endangered
Cervus elaphus bactrianus,Bactrian deer,Mammals,Endangered
Cervus elaphus barbarus,Barbary stag,Mammals,Endangered
Cervus elaphus barbarus,Barbary deer,Mammals,Endangered
Cervus elaphus corsicanus,Corsican red deer,Mammals,Endangered
Cervus elaphus hanglu,Kashmir stag,Mammals,Endangered
Cervus elaphus macneilii,McNeill's deer,Mammals,Endangered
Cervus elaphus wallichi,Shou,Mammals,Endangered
Cervus elaphus yarkandensis,Yarkand deer,Mammals,Endangered
Cervus eldi,Eld's brow-antlered Deer,Mammals,Endangered
Cervus nippon grassianus,Shansi sika deer,Mammals,Endangered
Cervus nippon keramae,Ryukyu sika deer,Mammals,Endangered
Cervus nippon kopschi,South China sika deer,Mammals,Endangered
Cervus nippon mandarinus,North China sika deer,Mammals,Endangered
Cervus nippon taiouanus,Formosan sika deer,Mammals,Endangered
Chaeropus ecaudatus,Pig-footed bandicoot,Mammals,Endangered
Chaetocercus berlepschi,Esmeraldas woodstar,Birds,Endangered
Chaetomys subspinosus,Thin-spined porcupine,Mammals,Endangered
Charadrius alexandrinus nivosus,Western snowy plover,Birds,Threatened
Charadrius melodus,Piping Plover,Birds,Endangered
Charadrius melodus,Piping Plover,Birds,Threatened
Chasiempis ibidis,Oahu elepaio,Birds,Endangered
Chasmistes brevirostris,Shortnose Sucker,Fishes,Endangered
Chasmistes cujus,Cui-ui,Fishes,Endangered
Chasmistes liorus,June sucker,Fishes,Endangered
Chelonia mydas,Green sea turtle,Reptiles,Endangered
Chelonia mydas,Green sea turtle,Reptiles,Endangered
Chelonia mydas,Green sea turtle,Reptiles,Endangered
Chelonia mydas,Green sea turtle,Reptiles,Threatened
Chelonia mydas,Green sea turtle,Reptiles,Threatened
Chelonia mydas,Green sea turtle,Reptiles,Threatened
Chelonia mydas,Green sea turtle,Reptiles,Threatened
Chelonia mydas,Green sea turtle,Reptiles,Threatened
Chelonia mydas,Green sea turtle,Reptiles,Threatened
Chelonia mydas,Green sea turtle,Reptiles,Threatened
Chelonia mydas,Green sea turtle,Reptiles,Threatened
Chinchilla brevicaudata boliviana,Chinchilla,Mammals,Endangered
Chiropotes albinasus,White-nosed saki,Mammals,Endangered
Chiropotes satanas satanas,Southern bearded saki,Mammals,Endangered
Chlamyphorus truncatus,Pink fairy armadillo,Mammals,Endangered
Chondrohierax uncinatus mirus,Grenada hook-billed kite,Birds,Endangered
Chondrohierax uncinatus wilsonii,Cuba hook-billed kite,Birds,Endangered
Chrosomus saylori,Laurel dace,Fishes,Endangered
Chrysocyon brachyurus,Maned wolf,Mammals,Endangered
Cichlherminia iherminieri santaeluciae,St. Lucia Forest thrush,Birds,Endangered
Cicindela dorsalis dorsalis,Northeastern beach tiger beetle,Insects,Threatened
Cicindela nevadica lincolniana,Salt Creek Tiger beetle,Insects,Endangered
Cicindela ohlone,Ohlone tiger beetle,Insects,Endangered
Cicindela puritana,Puritan tiger beetle,Insects,Threatened
Cicindelidia floridana,Miami tiger beetle,Insects,Endangered
Ciconia boyciana (=ciconia b.),Oriental white stork,Birds,Endangered
Cicurina baronia,Robber Baron Cave Meshweaver,Arachnids,Endangered
Cicurina madla,Madla's Cave Meshweaver,Arachnids,Endangered
Cicurina venii,Braken Bat Cave Meshweaver,Arachnids,Endangered
Cicurina vespera,Government Canyon Bat Cave Meshweaver,Arachnids,Endangered
Cinclocerthia ruficauda gutturalis,Martinique trembler (thrasher),Birds,Endangered
Cinclodes aricomae,Royal cinclodes,Birds,Endangered
Clemmys muhlenbergii,bog turtle,Reptiles,Similarity of Appearance to a Threatened Taxon
Clemmys muhlenbergii,bog turtle,Reptiles,Threatened
Cnemidophorus vanzoi,Maria Island ground lizard,Reptiles,Endangered
Coccyzus americanus,Yellow-billed Cuckoo,Birds,Threatened
Colinus virginianus ridgwayi,Masked bobwhite (quail),Birds,Endangered
Colobus satanas,Black colobus monkey,Mammals,Endangered
Columba inornata wetmorei,Puerto Rican plain Pigeon,Birds,Endangered
Columba junoniae,White-tailed laurel Pigeon,Birds,Threatened
Columba mayeri,Pink pigeon,Birds,Endangered
Columba palumbus azorica,Azores wood pigeon,Birds,Endangered
Conolophus pallidus,Barrington land iguana,Reptiles,Endangered
Conraua goliath,Goliath Frog,Amphibians,Threatened
Copsychus niger cebuensis,Cebu black shama (thrush),Birds,Endangered
Copsychus sechellarum,Seychelles magpie-robin (thrush),Birds,Endangered
Coquus newtoni,Reunion cuckoo-shrike,Birds,Endangered
Coquus typicus,Mauritius cuckoo-shrike,Birds,Endangered
Coracopsis nigra barklyi,Seychelles lesser vasa parrot,Birds,Endangered
Coreobagrus ichikawai,Nekogigi (catfish),Fishes,Endangered
Corvus hawaiiensis,Hawaiian (='alala) Crow,Birds,Endangered
Corvus kubaryi,Mariana (=aga) Crow,Birds,Endangered
Corvus leucognaphalus,White-necked crow,Birds,Endangered
Corynorhinus (=Plecotus) townsendii ingens,Ozark big-eared bat,Mammals,Endangered
Corynorhinus (=Plecotus) townsendii virginianus,Virginia big-eared bat,Mammals,Endangered
Cotinga maculata,Banded cotinga,Birds,Endangered
Cottus paulus (=pygmaeus),Pygmy Sculpin,Fishes,Threatened
Cottus specus,Grotto Sculpin,Fishes,Endangered
Craseonycteris thonglongyai,Bumblebee bat,Mammals,Endangered
Crax alberti,Blue-billed curassow,Birds,Endangered
Crax blumenbachii,Red-billed curassow,Birds,Endangered
Crenichthys baileyi baileyi,White River springfish,Fishes,Endangered
Crenichthys baileyi grandis,Hiko White River springfish,Fishes,Endangered
Crenichthys nevadae,Railroad Valley springfish,Fishes,Threatened
Crocodylus acutus,American crocodile,Reptiles,Endangered
Crocodylus acutus,American crocodile,Reptiles,Threatened
Crocodylus cataphractus,African slender-snouted crocodile,Reptiles,Endangered
Crocodylus intermedius,Orinoco crocodile,Reptiles,Endangered
Crocodylus niloticus,Nile crocodile,Reptiles,Threatened
Crocodylus novaeguineae mindorensis,Philippine crocodile,Reptiles,Endangered
Crocodylus palustris kimbula,Ceylon mugger crocodile,Reptiles,Endangered
Crocodylus palustris palustris,Mugger crocodile,Reptiles,Endangered
Crocodylus porosus,Saltwater crocodile,Reptiles,Endangered
Crocodylus porosus,Saltwater crocodile,Reptiles,Threatened
Crocodylus rhombifer,Cuban crocodile,Reptiles,Endangered
Crocodylus siamensis,Siamese crocodile,Reptiles,Endangered
Crossoptilon crossoptilon,White eared pheasant,Birds,Endangered
Crossoptilon mantchuricum,Brown eared pheasant,Birds,Endangered
Crotalus unicolor,Aruba Island rattlesnake,Reptiles,Threatened
Crotalus willardi obscurus,New Mexican ridge-nosed rattlesnake,Reptiles,Threatened
Cryptobranchus alleganiensis bishopi,Ozark Hellbender,Amphibians,Endangered
Crystallaria cincotta,diamond Darter,Fishes,Endangered
Cumberlandia monodonta,Spectaclecase (mussel),Clams,Endangered
Cuon alpinus,Dhole,Mammals,Endangered
Cyanopsitta spixii,Little blue macaw,Birds,Endangered
Cyanoramphus auriceps forbesi,Forbes' parakeet,Birds,Endangered
Cyanoramphus cookii (=novaezelandiae c.),Norfolk Island parakeet,Birds,Endangered
Cyclargus (=Hemiargus) thomasi bethunebakeri,Miami Blue Butterfly,Insects,Endangered
Cyclargus ammon,Nickerbean Blue Butterfly,Insects,Similarity of Appearance to a Threatened Taxon
Cyclura carinata bartschi,Mayaguana iguana,Reptiles,Threatened
Cyclura carinata carinata,Turks and Caicos iguana,Reptiles,Threatened
Cyclura collei,Jamaican iguana,Reptiles,Endangered
Cyclura cychlura cychlura,Andros Island ground iguana,Reptiles,Threatened
Cyclura cychlura figginsi,Exuma Island iguana,Reptiles,Threatened
Cyclura cychlura inornata,Allen's Cay iguana,Reptiles,Threatened
Cyclura lewisi,Grand Cayman ground iguana,Reptiles,Endangered
Cyclura nubila caymanensis,Cayman Brac ground iguana,Reptiles,Threatened
Cyclura nubila nubila,Cuban ground iguana,Reptiles,Threatened
Cyclura pinguis,Anegada ground iguana,Reptiles,Endangered
Cyclura rileyi cristata,White Cay ground iguana,Reptiles,Threatened
Cyclura rileyi nuchalis,Acklins ground iguana,Reptiles,Threatened
Cyclura rileyi rileyi,Watling Island ground iguana,Reptiles,Endangered
Cyclura stejnegeri,Mona ground Iguana,Reptiles,Threatened
Cynomys mexicanus,Mexican prairie dog,Mammals,Endangered
Cynomys parvidens,Utah prairie dog,Mammals,Threatened
Cynoscion macdonaldi,Totoaba (seatrout or weakfish),Fishes,Endangered
Cyprinella caerulea,Blue shiner,Fishes,Threatened
Cyprinella formosa,Beautiful shiner,Fishes,Threatened
Cyprinodon bovinus,Leon Springs pupfish,Fishes,Endangered
Cyprinodon diabolis,Devils Hole pupfish,Fishes,Endangered
Cyprinodon elegans,Comanche Springs pupfish,Fishes,Endangered
Cyprinodon macularius,Desert pupfish,Fishes,Endangered
Cyprinodon nevadensis mionectes,Ash Meadows Amargosa pupfish,Fishes,Endangered
Cyprinodon nevadensis pectoralis,Warm Springs pupfish,Fishes,Endangered
Cyprinodon radiosus,Owens pupfish,Fishes,Endangered
Cyprogenia stegaria,Fanshell,Clams,Endangered
Cyprogenia stegaria,Fanshell,Clams,"Experimental Population, Non-Essential"
Cyrtodactylus serpensinsula,Serpent Island gecko,Reptiles,Threatened
Cyrtonaias tampicoensis tecomatensis,Tampico pearlymussel,Clams,Endangered
Cyrtonyx montezumae merriami,Merriam's Montezuma quail,Birds,Endangered
Dama mesopotamica (=dama m.),Persian fallow deer,Mammals,Endangered
Damaliscus pygarus (=dorcas) dorcas,Bontebok,Mammals,Endangered
Dasyornis broadbenti littoralis,Western rufous bristlebird,Birds,Endangered
Dasyornis longirostris (=brachypterus I.),Western bristlebird,Birds,Endangered
Dasyurus viverrinus,Eastern native-cat,Mammals,Endangered
Daubentonia madagascariensis,Aye-aye,Mammals,Endangered
Delphinapterus leucas,beluga whale,Mammals,Endangered
Deltistes luxatus,Lost River sucker,Fishes,Endangered
Dendrogyra cylindricus,Pillar Coral,Corals,Threatened
Dendroica chrysoparia,Golden-cheeked warbler (=wood),Birds,Endangered
Dendroica petechia petechia,Barbados yellow warbler (=wood),Birds,Endangered
